"State","Year","Value"
"AK","1995","136"
"AK","1996","181"
"AK","1997","126"
"AK","1998","110"
"AK","1999","112"
"AK","2000","81"
"AK","2001","113"
"AK","2002","102"
"AK","2003","160"
"AK","2004","173"
"AK","2005","181"
"AK","2006","191"
"AK","2007","180"
"AK","2008","158"
"AK","2009","303"
"AK","2010","377"
"AK","2011","372"
"AK","2012","354"
"AK","2013","387"
"AK","2014","425"
"AK","2015","216"
"AK","2016","619"
"AK","2017","693"
"AL","1995","151"
"AL","1996","80"
"AL","1997","40"
"AL","1998","98"
"AL","1999","159"
"AL","2000","196"
"AL","2001","210"
"AL","2002","284"
"AL","2003","306"
"AL","2004","261"
"AL","2005","231"
"AL","2006","140"
"AL","2007","132"
"AL","2008","193"
"AL","2009","154"
"AL","2010","134"
"AL","2011","0"
"AL","2012","256"
"AL","2013","257"
"AL","2014","55"
"AL","2015","51"
"AL","2016","541"
"AL","2017","467"
"AR","1995","379"
"AR","1996","275"
"AR","1997","265"
"AR","1998","241"
"AR","1999","221"
"AR","2000","64"
"AR","2001","197"
"AR","2002","250"
"AR","2003","163"
"AR","2004","119"
"AR","2005","206"
"AR","2006","363"
"AR","2007","337"
"AR","2008","348"
"AR","2009","143"
"AR","2010","105"
"AR","2011","92"
"AR","2012","135"
"AR","2013","58"
"AR","2014","147"
"AR","2015","170"
"AR","2016","312"
"AR","2017","289"
"AZ","1995","1666"
"AZ","1996","1632"
"AZ","1997","1707"
"AZ","1998","1733"
"AZ","1999","1817"
"AZ","2000","1722"
"AZ","2001","1909"
"AZ","2002","2029"
"AZ","2003","1977"
"AZ","2004","1943"
"AZ","2005","1928"
"AZ","2006","1899"
"AZ","2007","1883"
"AZ","2008","1966"
"AZ","2009","1911"
"AZ","2010","1904"
"AZ","2011","1815"
"AZ","2012","2069"
"AZ","2013","2180"
"AZ","2014","1829"
"AZ","2015","1706"
"AZ","2016","1747"
"AZ","2017","1520"
"CA","1995","6316"
"CA","1996","3301"
"CA","1997","5993"
"CA","1998","6038"
"CA","1999","6143"
"CA","2000","6564"
"CA","2001","6346"
"CA","2002","6763"
"CA","2003","7224"
"CA","2004","7359"
"CA","2005","7363"
"CA","2006","7041"
"CA","2007","7547"
"CA","2008","7593"
"CA","2009","8139"
"CA","2010","7534"
"CA","2011","7561"
"CA","2012","7138"
"CA","2013","7428"
"CA","2014","7902"
"CA","2015","8750"
"CA","2016","8270"
"CA","2017","5193"
"CO","1995","378"
"CO","1996","561"
"CO","1997","482"
"CO","1998","578"
"CO","1999","595"
"CO","2000","661"
"CO","2001","674"
"CO","2002","510"
"CO","2003","659"
"CO","2004","731"
"CO","2005","788"
"CO","2006","893"
"CO","2007","845"
"CO","2008","794"
"CO","2009","653"
"CO","2010","716"
"CO","2011","710"
"CO","2012","727"
"CO","2013","915"
"CO","2014","926"
"CO","2015","1069"
"CO","2016","1070"
"CO","2017","1160"
"CT","1995","645"
"CT","1996","687"
"CT","1997","795"
"CT","1998","715"
"CT","1999","563"
"CT","2000","611"
"CT","2001","571"
"CT","2002","475"
"CT","2003","372"
"CT","2004","445"
"CT","2005","349"
"CT","2006","409"
"CT","2007","673"
"CT","2008","707"
"CT","2009","723"
"CT","2010","799"
"CT","2011","770"
"CT","2012","707"
"CT","2013","615"
"CT","2014","639"
"CT","2015","529"
"CT","2016","552"
"CT","2017","296"
"DC","1995","0"
"DC","1996","0"
"DC","1997","433"
"DC","1998","0"
"DC","1999","0"
"DC","2000","0"
"DC","2001","36"
"DC","2002","14"
"DC","2003","35"
"DC","2004","38"
"DC","2005","43"
"DC","2006","87"
"DC","2007","85"
"DC","2008","100"
"DC","2009","939"
"DC","2010","959"
"DC","2011","480"
"DC","2012","0"
"DC","2013","0"
"DC","2014","742"
"DC","2015","971"
"DC","2016","1547"
"DC","2017","1105"
"DE","1995","16"
"DE","1996","126"
"DE","1997","155"
"DE","1998","331"
"DE","1999","375"
"DE","2000","428"
"DE","2001","401"
"DE","2002","395"
"DE","2003","459"
"DE","2004","464"
"DE","2005","455"
"DE","2006","585"
"DE","2007","572"
"DE","2008","661"
"DE","2009","483"
"DE","2010","499"
"DE","2011","474"
"DE","2012","431"
"DE","2013","451"
"DE","2014","368"
"DE","2015","370"
"DE","2016","413"
"DE","2017","357"
"FL","1995","0"
"FL","1996","0"
"FL","1997","0"
"FL","1998","8479"
"FL","1999","8164"
"FL","2000","8527"
"FL","2001","7848"
"FL","2002","7799"
"FL","2003","7906"
"FL","2004","7605"
"FL","2005","7506"
"FL","2006","7997"
"FL","2007","7867"
"FL","2008","7524"
"FL","2009","7070"
"FL","2010","6581"
"FL","2011","6286"
"FL","2012","6438"
"FL","2013","6181"
"FL","2014","5613"
"FL","2015","5756"
"FL","2016","5280"
"FL","2017","24"
"GA","1995","763"
"GA","1996","799"
"GA","1997","585"
"GA","1998","593"
"GA","1999","683"
"GA","2000","599"
"GA","2001","761"
"GA","2002","1030"
"GA","2003","766"
"GA","2004","755"
"GA","2005","558"
"GA","2006","560"
"GA","2007","628"
"GA","2008","629"
"GA","2009","724"
"GA","2010","626"
"GA","2011","746"
"GA","2012","1214"
"GA","2013","1186"
"GA","2014","998"
"GA","2015","932"
"GA","2016","797"
"GA","2017","659"
"HI","1995","410"
"HI","1996","380"
"HI","1997","340"
"HI","1998","317"
"HI","1999","227"
"HI","2000","214"
"HI","2001","240"
"HI","2002","205"
"HI","2003","237"
"HI","2004","305"
"HI","2005","201"
"HI","2006","276"
"HI","2007","242"
"HI","2008","328"
"HI","2009","292"
"HI","2010","289"
"HI","2011","349"
"HI","2012","371"
"HI","2013","66"
"HI","2014","56"
"HI","2015","389"
"HI","2016","74"
"HI","2017","297"
"IA","1995","46"
"IA","1996","466"
"IA","1997","413"
"IA","1998","419"
"IA","1999","508"
"IA","2000","468"
"IA","2001","346"
"IA","2002","499"
"IA","2003","375"
"IA","2004","403"
"IA","2005","436"
"IA","2006","507"
"IA","2007","466"
"IA","2008","423"
"IA","2009","365"
"IA","2010","367"
"IA","2011","473"
"IA","2012","399"
"IA","2013","437"
"IA","2014","540"
"IA","2015","508"
"IA","2016","340"
"IA","2017","484"
"ID","1995","325"
"ID","1996","0"
"ID","1997","230"
"ID","1998","247"
"ID","1999","195"
"ID","2000","198"
"ID","2001","193"
"ID","2002","168"
"ID","2003","241"
"ID","2004","250"
"ID","2005","258"
"ID","2006","207"
"ID","2007","229"
"ID","2008","225"
"ID","2009","234"
"ID","2010","221"
"ID","2011","205"
"ID","2012","208"
"ID","2013","226"
"ID","2014","252"
"ID","2015","287"
"ID","2016","310"
"ID","2017","370"
"IL","1995","0"
"IL","1996","0"
"IL","1997","0"
"IL","1998","0"
"IL","1999","0"
"IL","2000","0"
"IL","2001","0"
"IL","2002","0"
"IL","2003","0"
"IL","2004","0"
"IL","2005","0"
"IL","2006","764"
"IL","2007","914"
"IL","2008","894"
"IL","2009","535"
"IL","2010","389"
"IL","2011","101"
"IL","2012","92"
"IL","2013","91"
"IL","2014","92"
"IL","2015","114"
"IL","2016","73"
"IL","2017","111"
"IN","1995","1222"
"IN","1996","1214"
"IN","1997","1224"
"IN","1998","1212"
"IN","1999","1129"
"IN","2000","1157"
"IN","2001","1166"
"IN","2002","1182"
"IN","2003","1076"
"IN","2004","1142"
"IN","2005","1142"
"IN","2006","1213"
"IN","2007","1146"
"IN","2008","1264"
"IN","2009","1078"
"IN","2010","1088"
"IN","2011","1124"
"IN","2012","1192"
"IN","2013","931"
"IN","2014","866"
"IN","2015","918"
"IN","2016","1134"
"IN","2017","456"
"KS","1995","395"
"KS","1996","0"
"KS","1997","0"
"KS","1998","0"
"KS","1999","0"
"KS","2000","0"
"KS","2001","1104"
"KS","2002","1043"
"KS","2003","511"
"KS","2004","973"
"KS","2005","954"
"KS","2006","666"
"KS","2007","719"
"KS","2008","290"
"KS","2009","209"
"KS","2010","406"
"KS","2011","252"
"KS","2012","88"
"KS","2013","36"
"KS","2014","347"
"KS","2015","470"
"KS","2016","572"
"KS","2017","684"
"KY","1995","804"
"KY","1996","148"
"KY","1997","159"
"KY","1998","276"
"KY","1999","237"
"KY","2000","202"
"KY","2001","317"
"KY","2002","332"
"KY","2003","164"
"KY","2004","694"
"KY","2005","521"
"KY","2006","293"
"KY","2007","277"
"KY","2008","572"
"KY","2009","1182"
"KY","2010","1237"
"KY","2011","838"
"KY","2012","780"
"KY","2013","791"
"KY","2014","914"
"KY","2015","909"
"KY","2016","1019"
"KY","2017","1114"
"LS","1995","2153"
"LS","1996","1927"
"LS","1997","2387"
"LS","1998","2497"
"LS","1999","1968"
"LS","2000","2094"
"LS","2001","1909"
"LS","2002","1818"
"LS","2003","1746"
"LS","2004","1776"
"LS","2005","1266"
"LS","2006","2243"
"LS","2007","1979"
"LS","2008","1615"
"LS","2009","1226"
"LS","2010","1326"
"LS","2011","1262"
"LS","2012","1073"
"LS","2013","1220"
"LS","2014","1242"
"LS","2015","1295"
"LS","2016","1369"
"LS","2017","1430"
"MA","1995","1109"
"MA","1996","867"
"MA","1997","859"
"MA","1998","753"
"MA","1999","543"
"MA","2000","525"
"MA","2001","1022"
"MA","2002","378"
"MA","2003","330"
"MA","2004","138"
"MA","2005","115"
"MA","2006","154"
"MA","2007","151"
"MA","2008","99"
"MA","2009","86"
"MA","2010","120"
"MA","2011","86"
"MA","2012","54"
"MA","2013","58"
"MA","2014","733"
"MA","2015","1936"
"MA","2016","2226"
"MA","2017","2125"
"MD","1995","4306"
"MD","1996","3733"
"MD","1997","4211"
"MD","1998","4563"
"MD","1999","4684"
"MD","2000","4091"
"MD","2001","3116"
"MD","2002","3906"
"MD","2003","3618"
"MD","2004","3707"
"MD","2005","3822"
"MD","2006","3988"
"MD","2007","3763"
"MD","2008","3757"
"MD","2009","3523"
"MD","2010","3592"
"MD","2011","3401"
"MD","2012","2318"
"MD","2013","2231"
"MD","2014","2111"
"MD","2015","1205"
"MD","2016","2134"
"MD","2017","1613"
"ME","1995","274"
"ME","1996","320"
"ME","1997","282"
"ME","1998","131"
"ME","1999","170"
"ME","2000","214"
"ME","2001","249"
"ME","2002","244"
"ME","2003","208"
"ME","2004","215"
"ME","2005","174"
"ME","2006","283"
"ME","2007","289"
"ME","2008","242"
"ME","2009","205"
"ME","2010","189"
"ME","2011","191"
"ME","2012","168"
"ME","2013","186"
"ME","2014","171"
"ME","2015","181"
"ME","2016","145"
"ME","2017","161"
"MI","1995","495"
"MI","1996","344"
"MI","1997","347"
"MI","1998","619"
"MI","1999","389"
"MI","2000","966"
"MI","2001","1029"
"MI","2002","1225"
"MI","2003","736"
"MI","2004","585"
"MI","2005","1093"
"MI","2006","1198"
"MI","2007","1063"
"MI","2008","870"
"MI","2009","1019"
"MI","2010","987"
"MI","2011","1009"
"MI","2012","887"
"MI","2013","795"
"MI","2014","824"
"MI","2015","722"
"MI","2016","825"
"MI","2017","768"
"MN","1995","162"
"MN","1996","156"
"MN","1997","134"
"MN","1998","175"
"MN","1999","51"
"MN","2000","105"
"MN","2001","29"
"MN","2002","63"
"MN","2003","40"
"MN","2004","54"
"MN","2005","193"
"MN","2006","169"
"MN","2007","97"
"MN","2008","198"
"MN","2009","79"
"MN","2010","92"
"MN","2011","288"
"MN","2012","355"
"MN","2013","372"
"MN","2014","358"
"MN","2015","384"
"MN","2016","300"
"MN","2017","5"
"MO","1995","1963"
"MO","1996","2067"
"MO","1997","1846"
"MO","1998","1880"
"MO","1999","1852"
"MO","2000","1938"
"MO","2001","2049"
"MO","2002","2416"
"MO","2003","2274"
"MO","2004","2120"
"MO","2005","2234"
"MO","2006","1943"
"MO","2007","2237"
"MO","2008","1951"
"MO","2009","1833"
"MO","2010","1868"
"MO","2011","2090"
"MO","2012","1954"
"MO","2013","1973"
"MO","2014","1960"
"MO","2015","1789"
"MO","2016","1902"
"MO","2017","850"
"MS","1995","199"
"MS","1996","100"
"MS","1997","293"
"MS","1998","261"
"MS","1999","251"
"MS","2000","216"
"MS","2001","245"
"MS","2002","248"
"MS","2003","262"
"MS","2004","284"
"MS","2005","228"
"MS","2006","217"
"MS","2007","225"
"MS","2008","170"
"MS","2009","136"
"MS","2010","112"
"MS","2011","125"
"MS","2012","124"
"MS","2013","109"
"MS","2014","175"
"MS","2015","142"
"MS","2016","104"
"MS","2017","107"
"MT","1995","0"
"MT","1996","0"
"MT","1997","3"
"MT","1998","5"
"MT","1999","0"
"MT","2000","0"
"MT","2001","0"
"MT","2002","0"
"MT","2003","18"
"MT","2004","57"
"MT","2005","0"
"MT","2006","201"
"MT","2007","180"
"MT","2008","227"
"MT","2009","217"
"MT","2010","214"
"MT","2011","133"
"MT","2012","198"
"MT","2013","222"
"MT","2014","320"
"MT","2015","339"
"MT","2016","434"
"MT","2017","563"
"NB","1995","235"
"NB","1996","177"
"NB","1997","175"
"NB","1998","204"
"NB","1999","208"
"NB","2000","203"
"NB","2001","168"
"NB","2002","179"
"NB","2003","179"
"NB","2004","162"
"NB","2005","190"
"NB","2006","139"
"NB","2007","300"
"NB","2008","235"
"NB","2009","94"
"NB","2010","185"
"NB","2011","187"
"NB","2012","189"
"NB","2013","158"
"NB","2014","96"
"NB","2015","60"
"NB","2016","31"
"NB","2017","35"
"NC","1995","2576"
"NC","1996","2353"
"NC","1997","2496"
"NC","1998","2478"
"NC","1999","2313"
"NC","2000","1935"
"NC","2001","1986"
"NC","2002","1929"
"NC","2003","1999"
"NC","2004","1638"
"NC","2005","2034"
"NC","2006","2335"
"NC","2007","2014"
"NC","2008","2009"
"NC","2009","2118"
"NC","2010","1840"
"NC","2011","2032"
"NC","2012","2062"
"NC","2013","2020"
"NC","2014","1740"
"NC","2015","1649"
"NC","2016","1798"
"NC","2017","389"
"ND","1995","7"
"ND","1996","7"
"ND","1997","5"
"ND","1998","32"
"ND","1999","35"
"ND","2000","53"
"ND","2001","41"
"ND","2002","69"
"ND","2003","70"
"ND","2004","50"
"ND","2005","65"
"ND","2006","93"
"ND","2007","55"
"ND","2008","75"
"ND","2009","83"
"ND","2010","89"
"ND","2011","95"
"ND","2012","129"
"ND","2013","128"
"ND","2014","152"
"ND","2015","209"
"ND","2016","233"
"ND","2017","201"
"NH","1995","213"
"NH","1996","205"
"NH","1997","57"
"NH","1998","63"
"NH","1999","57"
"NH","2000","94"
"NH","2001","103"
"NH","2002","94"
"NH","2003","40"
"NH","2004","81"
"NH","2005","66"
"NH","2006","98"
"NH","2007","36"
"NH","2008","68"
"NH","2009","64"
"NH","2010","185"
"NH","2011","209"
"NH","2012","263"
"NH","2013","244"
"NH","2014","257"
"NH","2015","254"
"NH","2016","251"
"NH","2017","247"
"NJ","1995","3228"
"NJ","1996","3207"
"NJ","1997","3276"
"NJ","1998","2820"
"NJ","1999","2630"
"NJ","2000","2751"
"NJ","2001","2874"
"NJ","2002","2880"
"NJ","2003","2836"
"NJ","2004","2824"
"NJ","2005","2697"
"NJ","2006","2638"
"NJ","2007","2479"
"NJ","2008","2150"
"NJ","2009","1942"
"NJ","2010","1855"
"NJ","2011","1748"
"NJ","2012","1872"
"NJ","2013","1734"
"NJ","2014","1409"
"NJ","2015","1393"
"NJ","2016","1517"
"NJ","2017","458"
"NM","1995","443"
"NM","1996","303"
"NM","1997","640"
"NM","1998","493"
"NM","1999","546"
"NM","2000","549"
"NM","2001","534"
"NM","2002","524"
"NM","2003","495"
"NM","2004","598"
"NM","2005","738"
"NM","2006","630"
"NM","2007","653"
"NM","2008","625"
"NM","2009","595"
"NM","2010","773"
"NM","2011","851"
"NM","2012","746"
"NM","2013","625"
"NM","2014","724"
"NM","2015","486"
"NM","2016","831"
"NM","2017","550"
"NV","1995","249"
"NV","1996","292"
"NV","1997","345"
"NV","1998","454"
"NV","1999","463"
"NV","2000","508"
"NV","2001","444"
"NV","2002","461"
"NV","2003","469"
"NV","2004","435"
"NV","2005","448"
"NV","2006","568"
"NV","2007","531"
"NV","2008","654"
"NV","2009","597"
"NV","2010","337"
"NV","2011","280"
"NV","2012","334"
"NV","2013","308"
"NV","2014","314"
"NV","2015","369"
"NV","2016","332"
"NV","2017","375"
"NY","1995","2524"
"NY","1996","4628"
"NY","1997","4359"
"NY","1998","3697"
"NY","1999","1494"
"NY","2000","1460"
"NY","2001","1144"
"NY","2002","532"
"NY","2003","884"
"NY","2004","688"
"NY","2005","744"
"NY","2006","613"
"NY","2007","693"
"NY","2008","805"
"NY","2009","859"
"NY","2010","938"
"NY","2011","862"
"NY","2012","958"
"NY","2013","939"
"NY","2014","661"
"NY","2015","622"
"NY","2016","590"
"NY","2017","343"
"OH","1995","2217"
"OH","1996","2293"
"OH","1997","2233"
"OH","1998","1828"
"OH","1999","1081"
"OH","2000","1556"
"OH","2001","1651"
"OH","2002","1294"
"OH","2003","1139"
"OH","2004","715"
"OH","2005","555"
"OH","2006","474"
"OH","2007","420"
"OH","2008","464"
"OH","2009","348"
"OH","2010","281"
"OH","2011","254"
"OH","2012","274"
"OH","2013","201"
"OH","2014","232"
"OH","2015","206"
"OH","2016","545"
"OH","2017","362"
"OK","1995","905"
"OK","1996","762"
"OK","1997","854"
"OK","1998","878"
"OK","1999","750"
"OK","2000","825"
"OK","2001","791"
"OK","2002","824"
"OK","2003","786"
"OK","2004","870"
"OK","2005","939"
"OK","2006","932"
"OK","2007","958"
"OK","2008","854"
"OK","2009","800"
"OK","2010","793"
"OK","2011","671"
"OK","2012","667"
"OK","2013","646"
"OK","2014","724"
"OK","2015","695"
"OK","2016","788"
"OK","2017","581"
"OR","1995","580"
"OR","1996","504"
"OR","1997","483"
"OR","1998","408"
"OR","1999","404"
"OR","2000","434"
"OR","2001","354"
"OR","2002","293"
"OR","2003","330"
"OR","2004","320"
"OR","2005","350"
"OR","2006","353"
"OR","2007","291"
"OR","2008","281"
"OR","2009","405"
"OR","2010","505"
"OR","2011","557"
"OR","2012","617"
"OR","2013","501"
"OR","2014","590"
"OR","2015","317"
"OR","2016","513"
"OR","2017","394"
"PA","1995","1923"
"PA","1996","2126"
"PA","1997","1892"
"PA","1998","2609"
"PA","1999","2747"
"PA","2000","2872"
"PA","2001","2662"
"PA","2002","2445"
"PA","2003","2362"
"PA","2004","2466"
"PA","2005","2500"
"PA","2006","2706"
"PA","2007","2659"
"PA","2008","3061"
"PA","2009","2838"
"PA","2010","2662"
"PA","2011","2245"
"PA","2012","2194"
"PA","2013","2004"
"PA","2014","1983"
"PA","2015","1814"
"PA","2016","1843"
"PA","2017","1814"
"RI","1995","612"
"RI","1996","431"
"RI","1997","565"
"RI","1998","347"
"RI","1999","471"
"RI","2000","499"
"RI","2001","330"
"RI","2002","265"
"RI","2003","184"
"RI","2004","143"
"RI","2005","158"
"RI","2006","295"
"RI","2007","317"
"RI","2008","278"
"RI","2009","400"
"RI","2010","384"
"RI","2011","287"
"RI","2012","327"
"RI","2013","325"
"RI","2014","293"
"RI","2015","268"
"RI","2016","189"
"RI","2017","194"
"SC","1995","133"
"SC","1996","0"
"SC","1997","12"
"SC","1998","85"
"SC","1999","139"
"SC","2000","81"
"SC","2001","106"
"SC","2002","161"
"SC","2003","224"
"SC","2004","197"
"SC","2005","872"
"SC","2006","976"
"SC","2007","735"
"SC","2008","449"
"SC","2009","277"
"SC","2010","574"
"SC","2011","568"
"SC","2012","604"
"SC","2013","642"
"SC","2014","437"
"SC","2015","539"
"SC","2016","611"
"SC","2017","532"
"SD","1995","18"
"SD","1996","37"
"SD","1997","40"
"SD","1998","43"
"SD","1999","60"
"SD","2000","62"
"SD","2001","43"
"SD","2002","36"
"SD","2003","70"
"SD","2004","39"
"SD","2005","32"
"SD","2006","13"
"SD","2007","97"
"SD","2008","137"
"SD","2009","136"
"SD","2010","170"
"SD","2011","220"
"SD","2012","199"
"SD","2013","222"
"SD","2014","167"
"SD","2015","202"
"SD","2016","205"
"SD","2017","187"
"TN","1995","336"
"TN","1996","653"
"TN","1997","658"
"TN","1998","517"
"TN","1999","979"
"TN","2000","1424"
"TN","2001","1553"
"TN","2002","1910"
"TN","2003","2028"
"TN","2004","2042"
"TN","2005","2201"
"TN","2006","1998"
"TN","2007","2114"
"TN","2008","1892"
"TN","2009","1766"
"TN","2010","1642"
"TN","2011","1657"
"TN","2012","1689"
"TN","2013","1594"
"TN","2014","1469"
"TN","2015","1593"
"TN","2016","1535"
"TN","2017","1696"
"TX","1995","4367"
"TX","1996","4556"
"TX","1997","4725"
"TX","1998","4530"
"TX","1999","4689"
"TX","2000","4506"
"TX","2001","4619"
"TX","2002","4783"
"TX","2003","4702"
"TX","2004","4494"
"TX","2005","4255"
"TX","2006","4274"
"TX","2007","4099"
"TX","2008","4561"
"TX","2009","4429"
"TX","2010","4248"
"TX","2011","3889"
"TX","2012","4164"
"TX","2013","4086"
"TX","2014","3759"
"TX","2015","2055"
"TX","2016","4327"
"TX","2017","4101"
"UT","1995","137"
"UT","1996","130"
"UT","1997","137"
"UT","1998","202"
"UT","1999","191"
"UT","2000","119"
"UT","2001","210"
"UT","2002","207"
"UT","2003","183"
"UT","2004","151"
"UT","2005","207"
"UT","2006","284"
"UT","2007","631"
"UT","2008","618"
"UT","2009","515"
"UT","2010","524"
"UT","2011","491"
"UT","2012","516"
"UT","2013","264"
"UT","2014","190"
"UT","2015","369"
"UT","2016","549"
"UT","2017","250"
"VA","1995","1623"
"VA","1996","1248"
"VA","1997","1559"
"VA","1998","1726"
"VA","1999","1316"
"VA","2000","840"
"VA","2001","840"
"VA","2002","864"
"VA","2003","598"
"VA","2004","776"
"VA","2005","780"
"VA","2006","711"
"VA","2007","808"
"VA","2008","777"
"VA","2009","693"
"VA","2010","680"
"VA","2011","1261"
"VA","2012","1306"
"VA","2013","1281"
"VA","2014","1215"
"VA","2015","1120"
"VA","2016","1151"
"VA","2017","1400"
"VT","1995","0"
"VT","1996","0"
"VT","1997","0"
"VT","1998","0"
"VT","1999","0"
"VT","2000","0"
"VT","2001","0"
"VT","2002","0"
"VT","2003","0"
"VT","2004","0"
"VT","2005","29"
"VT","2006","39"
"VT","2007","51"
"VT","2008","70"
"VT","2009","54"
"VT","2010","63"
"VT","2011","90"
"VT","2012","107"
"VT","2013","62"
"VT","2014","70"
"VT","2015","85"
"VT","2016","135"
"VT","2017","124"
"WA","1995","1217"
"WA","1996","1362"
"WA","1997","1287"
"WA","1998","1243"
"WA","1999","1144"
"WA","2000","1095"
"WA","2001","1064"
"WA","2002","1047"
"WA","2003","1015"
"WA","2004","1022"
"WA","2005","973"
"WA","2006","880"
"WA","2007","816"
"WA","2008","735"
"WA","2009","661"
"WA","2010","884"
"WA","2011","878"
"WA","2012","839"
"WA","2013","964"
"WA","2014","1020"
"WA","2015","1063"
"WA","2016","1284"
"WA","2017","1331"
"WI","1995","721"
"WI","1996","516"
"WI","1997","575"
"WI","1998","0"
"WI","1999","391"
"WI","2000","441"
"WI","2001","533"
"WI","2002","539"
"WI","2003","681"
"WI","2004","874"
"WI","2005","360"
"WI","2006","705"
"WI","2007","989"
"WI","2008","1066"
"WI","2009","1297"
"WI","2010","577"
"WI","2011","522"
"WI","2012","680"
"WI","2013","630"
"WI","2014","599"
"WI","2015","664"
"WI","2016","630"
"WI","2017","457"
"WV","1995","519"
"WV","1996","546"
"WV","1997","389"
"WV","1998","409"
"WV","1999","0"
"WV","2000","0"
"WV","2001","88"
"WV","2002","0"
"WV","2003","1"
"WV","2004","62"
"WV","2005","34"
"WV","2006","0"
"WV","2007","0"
"WV","2008","11"
"WV","2009","388"
"WV","2010","560"
"WV","2011","164"
"WV","2012","12"
"WV","2013","511"
"WV","2014","582"
"WV","2015","484"
"WV","2016","547"
"WV","2017","426"
"WY","1995","58"
"WY","1996","52"
"WY","1997","58"
"WY","1998","53"
"WY","1999","47"
"WY","2000","45"
"WY","2001","51"
"WY","2002","69"
"WY","2003","58"
"WY","2004","55"
"WY","2005","57"
"WY","2006","58"
"WY","2007","57"
"WY","2008","76"
"WY","2009","48"
"WY","2010","51"
"WY","2011","59"
"WY","2012","57"
"WY","2013","51"
"WY","2014","38"
"WY","2015","70"
"WY","2016","57"
"WY","2017","70"